5/18/2011;1959,12;12;1959;1/1/1959
5/18/2011;1960,18;18;1960;1/1/1960
5/18/2011;1850;0;#VALUE!;#VALUE!
5/18/2011;1970;0;#VALUE!;#VALUE!
5/18/2011;1903;0;#VALUE!;#VALUE!
5/18/2011;1942;0;#VALUE!;#VALUE!
5/18/2011;1866;0;#VALUE!;#VALUE!
5/18/2011;1945;0;#VALUE!;#VALUE!
5/18/2011;1955,8;8;1955;1/1/1955
5/18/2011;1954;0;;1/1/
5/18/2011;1971,1;1;1971;1/1/1971
5/18/2011;1960,8;8;1960;1/1/1960
5/18/2011;1956,14;14;1956;1/1/1956
