Auction Date;M/D/Y Format;Price Sold in GBP;Year Artwork Created;GBP to USD;Artist
5/18/2011;1/1/1858;700;1858;1212,25;Felice Beato 
5/18/2011;1/1/1903;0;1903;0,00;Edward J. Steichen 
5/18/2011;1/1/1900;0;1900;0,00;Eugène Atget 
5/18/2011;1/1/2004;400;2004;692,72;Siân Pile 
5/18/2011;1/1/1913;600;1913;1039,07;Alvin Langdon Coburn 
5/18/2011;1/1/1952;0;1952;0,00;Erich Hartmann 
5/18/2011;1/1/1870;0;1870;0,00;Charles Famin 
5/18/2011;1/1/2007;600;2007;1039,07;Philippe Blache 
5/18/2011;1/1/1858;500;1858;865,89;Robert Macpherson 
5/18/2011;1/1/1949;0;1949;0,00;George Rodger 
5/18/2011;1/1/1864;1300;1864;2251,33;Julia Margaret Cameron 
5/18/2011;1/1/1967;0;1967;0,00;Irving Penn 
5/18/2011;1/1/1963;700;1963;1212,25;Richard Sadler 
5/18/2011;1/1/1932;200;1932;346,36;F S Lincoln 
5/18/2011;1/1/1936;0;1936;0,00;Berenice Abbott 
5/18/2011;1/1/1951;4000;1951;6927,15;Edouard Boubat 
5/18/2011;1/1/1997;0;1997;0,00;Keith Carter 
5/18/2011;1/1/1866;650;1866;1125,66;Emile Gsell 
5/18/2011;1/1/1850;0;1850;0,00;William, 2nd Earl of Craven 
5/18/2011;1/1/1979;0;1979;0,00;Norman Parkinson 
5/18/2011;1/1/1856;420;1856;727,35;Robert Macpherson 
5/18/2011;1/1/1860;1100;1860;1904,97;Samuel Bourne 
5/18/2011;1/1/1938;4000;1938;6927,15;Margaret Bourke-White 
5/18/2011;1/1/1930;2200;1930;3809,94;Arvid Gutschow 
5/18/2011;1/1/1952;1800;1952;3117,22;Ernst Haas 
5/18/2011;1/1/1920;1000;1920;1731,79;Albert Renger - Patzsch 
5/18/2011;1/1/1957;2000;1957;3463,58;Rene Burri 
5/18/2011;1/1/2000;1000;2000;1731,79;Roger Ballen 
5/18/2011;1/1/1964;0;1964;0,00;Nicolas Tikhomiroff 
5/18/2011;1/1/1855;9000;1855;15586,10;P H Delamotte for Negretti & Zambra
5/18/2011;1/1/1961;0;1961;0,00;Nicolas Tikhomiroff 
5/18/2011;1/1/1964;700;1964;1212,25;Roberto Salas 
5/18/2011;1/1/1954;0;1954;0,00;Bert Hardy 
5/18/2011;1/1/1890;2200;1890;3809,94;John Watt Beattie 
5/18/2011;1/1/1974;0;1974;0,00;Bruno Requillart 
5/18/2011;1/1/1959;1200;1959;2078,15;Burt Glinn 
5/18/2011;1/1/1938;0;1938;0,00;Horst P Horst 
5/18/2011;1/1/1955;800;1955;1385,43;Yoshiyuki Iwase 
5/22/2012;1/1/1992;0;1992;0,00;Jalai Abbas 
5/22/2012;1/1/1978;750;1978;1247,77;John Blakemore 
5/22/2012;1/1/1947;3500;1947;5822,92;Henri Cartier-Bresson 
5/22/2012;1/1/1910;0;1910;0,00;Rudolf Lehnert 
5/22/2012;1/1/1955;750;1955;1247,77;Yoshiyuki Iwase 
5/22/2012;1/1/1964;420;1964;698,75;Roberto Salas 
5/22/2012;1/1/1953;750;1953;1247,77;Kiichi Asano 
5/22/2012;1/1/1920;0;1920;0,00;Albert Renger-Patzsch 
