1950,"650
",Bert Hardy (1913-1995)
1932,"1300
",Alexander Rodchenko (1891-1956)
1950,"500
",Bert Hardy (1913-1995)
1860,"1000
",Louis Vignes (1831-1896)
1969,"600
",Shomei Tomatsu (1930-2012)
1986,"700
",Stephen Shore (b.1947)
1950,"500
",Bert Hardy (1913-1995)
1958,"800
",Mario Giacomelli (1925-2000)
1978,Unsold,Viewing
1855,Unsold,Roger Fenton (1819-1869)
1934,"1450
",Dora Maar (1907-1997)
1927,Unsold,André Kertész (1894–1985)
1955,"2000
",William Klein (b.1928)
1927,"5000
",Ansel Adams (1902-1984)
1961,"1000
",Douglas Kirkland (b.1934)
1855,"700
",Roger Fenton (1819-1863)
1956,Unsold,Will McBride (b.1931)
1999,Unsold,Paul Fusco (b.1953)
1953,"2400
",Thurston Hopkins (b.1913)
1920,"600
",Julian Mandel (1872–1935) and others
1954,Unsold,Mario Giacomelli (1925-2000)
1969,"600
",Julio Cortázar (1914-1984) and others
1940,"600
",Stephen Glass (active 1940s)
2002,"1000
",Michael Dweck (b.1957)
1934,"4200
",Henri Cartier-Bresson (1908-2004)
1950,Unsold,Bert Hardy (1913-1995)
1973,Unsold,Inge Morath (1923-2002)
1865,"480
",Albert Thomas Watson Penn (1849-1924)
1915,Unsold,Pierre Choumoff (1872-1936)
1887,Unsold,Eadweard Muybridge (1830-1904)
1921,Unsold,Eugene Atget (1857-1929)
1966,"7000
",Garry Winogrand (1928-1984)
1991,Unsold,John Swannell (b.1946)
2004,"900
",Helena Christensen (b.1968)
1965,"3200
",Diane Arbus (1923-1971)
1961,"4000
",Ansel Adams (1902-1984)
1959,Unsold,Will McBride (b.1931)
1880,Unsold,R. Becher (active 1870s-1880s)
1982,Unsold,Martin Parr (b.1952)
1988,Unsold,Albert Watson (b.1942)
1955,Unsold,Bert Hardy (1913-1995)
1934,Unsold,Manuel Alvarez Bravo  (1902-2002)
1940,"1500
",André Kertész (1894-1985)
1958,Unsold,Inge Morath (1923-2002)
1942,Unsold,Arnold Newman (1918- 2006)
1958,"240
",Elio Ciol (b.1929)
1948,"1500
",David Seymour (1911-1956)
2005,"4400
",Sebastião Salgado (b.1944)
1948,"1100
",Bert Hardy (1913-1995)
1956,"1600
",Bert Hardy (1913-1995)
